lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,93.893000,93.893000,93.893000,93.893000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.769507,0.769507,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,85.919000,85.919000,85.919000,85.919000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.475108,0.475108,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,85.930000,85.930000,85.930000,85.930000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.436582,0.436582,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,85.640000,85.640000,85.640000,85.640000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.300096,0.300096,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,85.817000,85.817000,85.817000,85.817000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.296776,0.296776,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,85.636000,85.636000,85.636000,85.636000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.250179,0.250179,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,85.751000,85.751000,85.751000,85.751000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.422143,0.422143,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,85.733000,85.733000,85.733000,85.733000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.661567,0.661567,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,85.491000,85.491000,85.491000,85.491000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.267392,0.267392,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,85.502000,85.502000,85.502000,85.502000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.049799,0.049799,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,85.972000,85.972000,85.972000,85.972000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.337268,0.337268,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,86.066000,86.066000,86.066000,86.066000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.321728,0.321728,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,86.163000,86.163000,86.163000,86.163000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.319418,0.319418,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,86.080000,86.080000,86.080000,86.080000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.166544,0.166544,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,86.052000,86.052000,86.052000,86.052000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.186510,0.186510,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,85.974000,85.974000,85.974000,85.974000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.349332,0.349332,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,85.770000,85.770000,85.770000,85.770000,0.000000,0.000000,MEDIUM,MEDIUM,17.000000,17.000000,0.167389,0.167389,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,85.554000,85.554000,85.554000,85.554000,0.000000,0.000000,MEDIUM,MEDIUM,18.000000,18.000000,0.021609,0.021609,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,85.632000,85.632000,85.632000,85.632000,0.000000,0.000000,MEDIUM,MEDIUM,19.000000,19.000000,0.605394,0.605394,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
