lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,77.653000,77.653000,77.653000,77.653000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,72.102000,72.102000,72.102000,72.102000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,72.084000,72.084000,72.084000,72.084000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,71.733000,71.733000,71.733000,71.733000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,71.846000,71.846000,71.846000,71.846000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,71.845000,71.845000,71.845000,71.845000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,72.072000,72.072000,72.072000,72.072000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,72.396000,72.396000,72.396000,72.396000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,72.558000,72.558000,72.558000,72.558000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,72.875000,72.875000,72.875000,72.875000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,74.413000,74.413000,74.413000,74.413000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,73.340000,73.340000,73.340000,73.340000,0.000000,0.000000,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,72.789000,72.789000,72.789000,72.789000,0.000000,0.000000,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,72.607000,72.607000,72.607000,72.607000,0.000000,0.000000,MEDIUM,MEDIUM,14.000000,14.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,72.765000,72.765000,72.765000,72.765000,0.000000,0.000000,MEDIUM,MEDIUM,15.000000,15.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,72.626000,72.626000,72.626000,72.626000,0.000000,0.000000,MEDIUM,MEDIUM,16.000000,16.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,72.733000,72.733000,72.733000,72.733000,0.000000,0.000000,MEDIUM,MEDIUM,17.000000,17.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,76.633000,72.685739,72.685739,72.685739,-3.947261,-3.947261,MEDIUM,MEDIUM,18.000000,18.000000,0.000000,0.000000,run,GREEN,3,,,,False,-3.947261,-3.947261,-3.947261,-3.947261,0.000000,-3.947261,in_lap,False
19,88.537000,71.875012,71.561514,72.208694,-16.661988,-20.609249,HARD,MEDIUM,1.000000,19.000000,0.000000,0.000000,run,GREEN,6,,,,False,-16.975486,-16.328306,-20.922747,-20.275566,0.192702,-16.854690,out_lap,False
20,71.480000,71.668280,71.349670,72.005602,0.188280,-20.420969,HARD,MEDIUM,2.000000,20.000000,0.000000,0.000000,run,GREEN,5,,,,False,-0.130330,0.525602,-21.052955,-19.751074,0.188280,0.000000,run,False
21,71.484000,75.509531,75.123406,75.886053,4.025531,-16.395438,HARD,MEDIUM,3.000000,21.000000,0.000000,0.000000,in_lap,GREEN,4,,,,False,3.639406,4.402053,-17.402325,-15.391689,0.183858,3.841672,run,False
22,72.409000,88.800892,87.765289,89.891224,16.391892,-0.003546,HARD,MEDIUM,4.000000,1.000000,0.000000,0.000000,out_lap,GREEN,3,,,,False,15.356289,17.482224,-1.741350,1.749797,-1.387620,17.779513,run,False
23,71.787000,70.503828,69.971408,71.055648,-1.283172,-1.286718,HARD,MEDIUM,5.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,3,,,,False,-1.815592,-0.731352,-3.265527,0.573521,-1.392042,0.108870,run,False
24,72.016000,70.262543,69.638181,70.946224,-1.753457,-3.040175,HARD,MEDIUM,6.000000,3.000000,0.000000,0.000000,warm_up_2,YELLOW,3,,,,False,-2.377819,-1.069776,-5.337984,-0.772951,-1.396464,-0.356993,run,False
25,96.916000,95.515114,95.224417,95.812962,-1.400886,-4.441061,HARD,MEDIUM,7.000000,4.000000,0.000000,0.000000,run,VSC,2,,,,False,-1.691583,-1.103038,-6.959568,-2.015576,-1.400886,0.000000,run,False
26,93.030000,91.624692,91.330894,91.926166,-1.405308,-5.846368,HARD,MEDIUM,8.000000,5.000000,0.000000,0.000000,run,VSC,2,,,,False,-1.699106,-1.103834,-8.597668,-3.167329,-1.405308,0.000000,run,False
27,71.307000,69.897270,69.599791,70.201287,-1.409730,-7.256098,HARD,MEDIUM,9.000000,6.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.707209,-1.105713,-10.256636,-4.304329,-1.409730,0.000000,run,False
28,71.072000,69.657849,69.359993,69.968624,-1.414151,-8.670250,HARD,MEDIUM,10.000000,7.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.712007,-1.103376,-11.931519,-5.478002,-1.414151,0.000000,run,False
29,71.209000,69.790427,69.487179,70.107744,-1.418573,-10.088823,HARD,MEDIUM,11.000000,8.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.721821,-1.101256,-13.624016,-6.506873,-1.418573,0.000000,run,False
30,71.041000,69.618005,69.313719,69.929282,-1.422995,-11.511818,HARD,MEDIUM,12.000000,9.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.727281,-1.111718,-15.324040,-7.674660,-1.422995,0.000000,run,False
31,71.249000,69.821583,69.510347,70.128115,-1.427417,-12.939235,HARD,MEDIUM,13.000000,10.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.738653,-1.120885,-17.063292,-8.799222,-1.427417,0.000000,run,False
32,71.492000,70.060161,69.746461,70.364559,-1.431839,-14.371074,HARD,MEDIUM,14.000000,11.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.745539,-1.127441,-18.807247,-9.931111,-1.431839,0.000000,run,False
33,71.442000,70.005739,69.691759,70.317676,-1.436261,-15.807334,HARD,MEDIUM,15.000000,12.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.750241,-1.124324,-20.509462,-11.037285,-1.436261,0.000000,run,False
34,71.846000,70.405317,70.091454,70.725786,-1.440683,-17.248017,HARD,MEDIUM,16.000000,13.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.754546,-1.120214,-22.264110,-12.154469,-1.440683,0.000000,run,False
35,71.606000,70.160896,69.842214,70.489383,-1.445104,-18.693121,HARD,MEDIUM,17.000000,14.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.763786,-1.116617,-23.984613,-13.279269,-1.445104,0.000000,run,False
36,71.931000,70.481474,70.165069,70.814266,-1.449526,-20.142648,HARD,MEDIUM,18.000000,15.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.765931,-1.116734,-25.775173,-14.428142,-1.449526,0.000000,run,False
37,71.809000,70.355052,70.035575,70.688646,-1.453948,-21.596596,HARD,MEDIUM,19.000000,16.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.773425,-1.120354,-27.555940,-15.569164,-1.453948,0.000000,run,False
38,72.159000,70.700630,70.381004,71.038925,-1.458370,-23.054965,HARD,MEDIUM,20.000000,17.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.777996,-1.120075,-29.298776,-16.661246,-1.458370,0.000000,run,False
39,72.245000,70.782208,70.461782,71.128098,-1.462792,-24.517757,HARD,MEDIUM,21.000000,18.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.783218,-1.116902,-31.057679,-17.804138,-1.462792,0.000000,run,False
40,72.132000,70.664786,70.340796,71.019846,-1.467214,-25.984971,HARD,MEDIUM,22.000000,19.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.791204,-1.112154,-32.832648,-18.962410,-1.467214,0.000000,run,False
41,71.892000,70.420365,70.092809,70.780621,-1.471635,-27.456606,HARD,MEDIUM,23.000000,20.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.799191,-1.111379,-34.623684,-20.119829,-1.471635,0.000000,run,False
42,72.168000,70.691943,70.361842,71.060093,-1.476057,-28.932663,HARD,MEDIUM,24.000000,21.000000,0.000000,0.000000,run,GREEN,2,,,,False,-1.806158,-1.107907,-36.368661,-21.283979,-1.476057,0.000000,run,False
43,72.087000,70.606521,70.273669,70.985243,-1.480479,-30.413143,HARD,MEDIUM,25.000000,22.000000,0.000000,0.000000,run,GREEN,1,,,,False,-1.813331,-1.101757,-38.173124,-22.396315,-1.480479,0.000000,run,False
44,72.414000,70.929099,70.589552,71.318556,-1.484901,-31.898043,HARD,MEDIUM,26.000000,23.000000,0.000000,0.000000,run,GREEN,1,,,,False,-1.824448,-1.095444,-40.004366,-23.512350,-1.484901,0.000000,run,False
45,72.356000,70.866677,70.522808,71.260866,-1.489323,-33.387366,HARD,MEDIUM,27.000000,24.000000,0.000000,0.000000,run,GREEN,1,,,,False,-1.833192,-1.095134,-41.776002,-24.559721,-1.489323,0.000000,run,False
46,72.380000,70.886255,70.537960,71.283614,-1.493745,-34.881111,HARD,MEDIUM,28.000000,25.000000,0.000000,0.000000,run,GREEN,1,,,,False,-1.842040,-1.096386,-43.590304,-25.776173,-1.493745,0.000000,run,False
47,72.630000,71.131834,70.778282,71.531698,-1.498166,-36.379277,HARD,MEDIUM,29.000000,26.000000,0.000000,0.000000,run,GREEN,1,,,,False,-1.851718,-1.098302,-45.429775,-26.909038,-1.498166,0.000000,run,False
48,72.681000,71.178412,70.818572,71.582599,-1.502588,-37.881866,HARD,MEDIUM,30.000000,27.000000,0.000000,0.000000,run,GREEN,1,,,,False,-1.862428,-1.098401,-47.262485,-28.065400,-1.502588,0.000000,run,False
49,77.001000,74.740409,74.293151,75.186132,-2.260591,-40.142457,HARD,MEDIUM,31.000000,28.000000,0.000000,0.000000,in_lap,GREEN,2,,,,False,-2.707849,-1.814868,-49.992226,-29.923747,-1.507010,-0.753581,in_lap,False
50,87.513000,88.674523,87.700204,89.760979,1.161523,-38.980934,HARD,HARD,1.000000,1.000000,0.000000,0.000000,out_lap,GREEN,3,,,,False,0.187204,2.247979,-49.359551,-28.735427,0.000000,1.161523,out_lap,False
51,70.888000,70.864035,70.506200,71.237325,-0.023965,-39.004899,HARD,HARD,2.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,3,,,,False,-0.381800,0.349325,-49.308596,-28.863087,0.000000,-0.023965,run,False
52,77.264000,77.404727,76.754436,78.100537,0.140727,-38.864172,HARD,HARD,3.000000,3.000000,0.000000,0.000000,warm_up_2,VSC,2,,,,False,-0.509564,0.836537,-49.314079,-28.582677,0.000000,0.140727,run,False
53,76.936000,76.936000,76.936000,76.936000,0.000000,-38.864172,HARD,HARD,4.000000,4.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-49.314079,-28.582677,0.000000,0.000000,run,False
54,70.596000,70.596000,70.596000,70.596000,0.000000,-38.864172,HARD,HARD,5.000000,5.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-49.314079,-28.582677,0.000000,0.000000,run,False
55,70.599000,70.599000,70.599000,70.599000,0.000000,-38.864172,HARD,HARD,6.000000,6.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-49.314079,-28.582677,0.000000,0.000000,run,False
56,70.633000,70.633000,70.633000,70.633000,0.000000,-38.864172,HARD,HARD,7.000000,7.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-49.314079,-28.582677,0.000000,0.000000,run,False
57,70.483000,70.483000,70.483000,70.483000,0.000000,-38.864172,HARD,HARD,8.000000,8.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-49.314079,-28.582677,0.000000,0.000000,run,False
58,70.622000,70.622000,70.622000,70.622000,0.000000,-38.864172,HARD,HARD,9.000000,9.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-49.314079,-28.582677,0.000000,0.000000,run,False
